Date,Index_Name,Sub_Index,PE,PB,Div_Yield
2026-03-02,NIFTY 100,Broad Market Indices,21.28,3.41,1.27
2026-03-04,NIFTY 100,Broad Market Indices,20.91,3.35,1.29
2026-03-05,NIFTY 100,Broad Market Indices,21.16,3.39,1.28
2026-03-06,NIFTY 100,Broad Market Indices,20.92,3.35,1.3
2026-03-09,NIFTY 100,Broad Market Indices,20.55,3.29,1.32
2026-03-10,NIFTY 100,Broad Market Indices,20.77,3.33,1.3
2026-03-11,NIFTY 100,Broad Market Indices,20.46,3.28,1.32
2026-03-12,NIFTY 100,Broad Market Indices,20.29,3.25,1.34
2026-03-13,NIFTY 100,Broad Market Indices,19.85,3.18,1.37
2026-03-16,NIFTY 100,Broad Market Indices,20.02,3.21,1.36
2026-03-17,NIFTY 100,Broad Market Indices,20.17,3.23,1.35
2026-03-18,NIFTY 100,Broad Market Indices,20.35,3.26,1.34
2026-03-19,NIFTY 100,Broad Market Indices,19.69,3.15,1.38
2026-03-20,NIFTY 100,Broad Market Indices,19.78,3.17,1.37
2026-03-23,NIFTY 100,Broad Market Indices,19.23,3.08,1.41
2026-03-24,NIFTY 100,Broad Market Indices,19.56,3.13,1.39
2026-03-25,NIFTY 100,Broad Market Indices,19.91,3.19,1.37
2026-03-27,NIFTY 100,Broad Market Indices,19.48,3.12,1.41
2026-03-30,NIFTY 100,Broad Market Indices,19.13,3.08,1.43
2026-04-01,NIFTY 100,Broad Market Indices,19.46,3.13,1.41
2026-04-02,NIFTY 100,Broad Market Indices,19.49,3.14,1.41
2026-04-06,NIFTY 100,Broad Market Indices,19.72,3.17,1.39
2026-04-07,NIFTY 100,Broad Market Indices,19.85,3.19,1.38
2026-04-08,NIFTY 100,Broad Market Indices,20.63,3.32,1.33
2026-04-09,NIFTY 100,Broad Market Indices,20.48,3.29,1.34
2026-04-10,NIFTY 100,Broad Market Indices,20.75,3.34,1.32
2026-04-13,NIFTY 100,Broad Market Indices,20.56,3.31,1.33
2026-04-15,NIFTY 100,Broad Market Indices,20.91,3.37,1.31
2026-04-16,NIFTY 100,Broad Market Indices,20.93,3.37,1.31
2026-04-17,NIFTY 100,Broad Market Indices,21.09,3.39,1.3
2026-04-20,NIFTY 100,Broad Market Indices,21.11,3.4,1.3
2026-04-21,NIFTY 100,Broad Market Indices,21.18,3.42,1.29
2026-04-22,NIFTY 100,Broad Market Indices,21.07,3.41,1.3
2026-04-23,NIFTY 100,Broad Market Indices,20.87,3.38,1.31
2026-04-24,NIFTY 100,Broad Market Indices,20.64,3.34,1.34
2026-04-27,NIFTY 100,Broad Market Indices,20.78,3.37,1.33
2026-04-28,NIFTY 100,Broad Market Indices,20.68,3.36,1.32
2026-04-29,NIFTY 100,Broad Market Indices,20.8,3.38,1.31
2026-04-30,NIFTY 100,Broad Market Indices,20.7,3.36,1.32
2026-03-02,NIFTY 200,Broad Market Indices,22.71,3.53,1.19
2026-03-04,NIFTY 200,Broad Market Indices,22.29,3.47,1.21
2026-03-05,NIFTY 200,Broad Market Indices,22.57,3.51,1.2
2026-03-06,NIFTY 200,Broad Market Indices,22.34,3.48,1.21
2026-03-09,NIFTY 200,Broad Market Indices,21.93,3.41,1.23
2026-03-10,NIFTY 200,Broad Market Indices,22.19,3.45,1.22
2026-03-11,NIFTY 200,Broad Market Indices,21.86,3.4,1.24
2026-03-12,NIFTY 200,Broad Market Indices,21.7,3.38,1.25
2026-03-13,NIFTY 200,Broad Market Indices,21.22,3.3,1.28
2026-03-16,NIFTY 200,Broad Market Indices,21.36,3.32,1.27
2026-03-17,NIFTY 200,Broad Market Indices,21.53,3.35,1.26
2026-03-18,NIFTY 200,Broad Market Indices,21.76,3.39,1.25
2026-03-19,NIFTY 200,Broad Market Indices,21.05,3.28,1.29
2026-03-20,NIFTY 200,Broad Market Indices,21.16,3.29,1.28
2026-03-23,NIFTY 200,Broad Market Indices,20.53,3.19,1.32
2026-03-24,NIFTY 200,Broad Market Indices,20.91,3.25,1.29
2026-03-25,NIFTY 200,Broad Market Indices,21.31,3.32,1.27
2026-03-27,NIFTY 200,Broad Market Indices,20.84,3.24,1.31
2026-03-30,NIFTY 200,Broad Market Indices,20.73,3.23,1.31
2026-04-01,NIFTY 200,Broad Market Indices,21.11,3.29,1.29
2026-04-02,NIFTY 200,Broad Market Indices,21.12,3.3,1.29
2026-04-06,NIFTY 200,Broad Market Indices,21.38,3.34,1.27
2026-04-07,NIFTY 200,Broad Market Indices,21.5,3.36,1.26
2026-04-08,NIFTY 200,Broad Market Indices,22.35,3.49,1.22
